GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,22.0,22,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,90.77447,90.8 [88.6-92.6],88.57625,92.58511
vbcg,BCG immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201011,north kordofan,69.91836,69.9 [60.5-77.9],60.48803,77.91955
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,24.8,24.8 [14.5-37.3],14.5,37.3
TB_new_oth,New cases: other,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
W26_plain_packaging_C,Plain packaging of smokeless tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,13404.0,13 404 [11 224-16 277],11224.0,16277.0
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,,No data,,
NUT_CF_MDD,Minimum dietary diversity 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,24.1,24.1 [21.2-27.3],21.2,27.3
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201001,northern,43.10887,43.1 [28.3-65.1],28.32436,65.0935
TB_ps_prev_bc_100k,"Prevalence of bacteriologically-confirmed pulmonary TB among those aged ≥15 years, per 100,000 population",,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,234.0,234 [163-334],163.0,334.0
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-19,15-19 years of age,,No data,,
IR_ORGANOPHOSPHATE_EXTENT,Percentage of sites for which organophosphate resistance was reported,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,40.0,40,,
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,27.6,27.6 [14.9-43.2],14.9,43.2
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,22.1,22.1 [14.6-31.0],14.6,31.0
bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,,No data,,
W22_emissions_qual_A,Cigarette packaging and labelling must display qualitative information on relevant constituents and emissions,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201417,central darfur,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1998,1998,1998,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1968,1968,1968,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,1.55,1.55,,
TB_new_ep,New cases: extrapulmonary,,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,5267.0,5267,,
R_Curr_mp,Most sold brand of cigarettes - currency reported,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,SDG,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
W22_emissions_qual_C,Smokeless tobacco packaging and labelling must display qualitative information on relevant constituents and emissions,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
E21b_indirect_ad_fines,Law requires fines for violations of promotion and sponsorship bans,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
uwgt5,Underweight prevalence in children aged < 5 years (%) (Health inequality monitor),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201003,red sea,,No data,,
R_VAT,Taxes as a % of price: value added tax,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_CLOSED_RECHARGABLE_CHEAPEST,Cheapest brand of e-liquid of a closed rechargeable ENDS/ENNDS system (1ml),,,,
fps,Demand for family planning satisfied - modern and traditional methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,17.0862,17.1 [13.9-20.8],13.94629,20.76248
vmsl,Measles immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,64.57189,64.6 [59.6-69.3],59.55066,69.29123
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,,No data,,
W23_emissions_front_back_B,Other smoked tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
Rev_type,Annual tax revenues - tobacco products included,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,All tobacco products,,
WHS4_106,Care-seeking for children with symptoms of acute respiratory infection (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),71.2,71.2,,
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,,No data,,
CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,5.5329,5.53 [1.04-10.08],1.04387,10.07552
NUT_CF_ISSSF,"Introduction of solid, semi-solid or soft foods 6-8 months",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,76.2,76.2 [65.2-84.6],65.2,84.6
NUT_CF_MDD,Minimum dietary diversity 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM80,Wealth - Bottom 80%,18.7,18.7 [16.6-21.0],16.6,21.0
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1988,1988,1988,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,21.2,21.2 [18.2-24.1],18.2,24.1
TB_c_notified,Total number of notified TB cases,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,27241.0, 27 241,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,672.0596,672.1 [368.2-1135.1],368.2342,1135.06
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS20-49,20-49 years,,No data,,
TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,7700.0,7700 [4000-13000],4000.0,13000.0
SA_0000001679,Exports of beer (barley) in 1000s hectolitres,,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,,,,,0,,
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_MILD,Mild,21.6,21.6 [13.3-28.4],13.3,28.4
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_TOTAL,Total,40.5,40.5 [24.3-53.5],24.3,53.5
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201417,central darfur,36.42109,36.4 [26.5-47.6],26.50683,47.63981
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
W23_emissions_front_back_A,Cigarette packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,11.43011,11.4 [9.9-13.2],9.85831,13.21578
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201403,red sea,,No data,,
R_tax_other,Taxes as a % of price: other taxes,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),0.0,0,,
vpolio,Polio immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201408,white nile,76.55919,76.6 [67.6-83.6],67.63412,83.61921
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,Decile 10 (richest),64.57579,64.6 [55.9-72.4],55.85592,72.42359
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1990,1990,1990,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.28,0.28,,
nmr,Neonatal mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,38.87016,38.9 [35.0-42.8],34.97116,42.76915
vzdpt,One-year-old children who have not received any doses of the DTP vaccine (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,Decile 3,29.26365,29.3 [23.5-35.8],23.48281,35.80173
SA_0000001439,"Age-standardized death rates, colon and rectum cancers, per 100,000",,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,5.91,5.91,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,17.0724,17.07 [12.07-23.89],12.0698,23.88503
SA_0000001647_ARCHIVED,Awareness activities,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,AWARENESSACTIVITYTYPE,AWARENESSACTIVITYTYPE_SA_ALCOHOLS_IMPACT_ON_HEALTH,Impact on health/HIV,,No,,
NUT_BF_EIBF,"Early Initiation of Breastfeeding, Children born in the last 24 months",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,Wealth - Top 80%,70.6,70.6 [68.4-72.7],68.4,72.7
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1993,1993,1993,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,1.84,1.84,,
IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not tested/reported,,
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,,No data,,
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,Decile 4,74.30595,74.3 [68.0-79.8],67.97266,79.75977
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,34.69366,34.7 [23.9-46.5],23.85574,46.50751
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,17.2,17.2 [8.8-28.9],8.8,28.9
nmr,Neonatal mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,30.59314,30.6 [27.7-33.5],27.70236,33.48392
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1977,1977,1977,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
TB_notif_num,Number of people notified with new episode of TB in a given year,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_BCPTB,Bacteriologically confirmed pulmonary TB,10541.0,10 541,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1986,1986,1986,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,20.8,20.8 [18.5-23.2],18.5,23.2
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
BP_05,Mean systolic blood pressure (crude estimate),,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,129.5,129.5 [122.5-136.2],122.5,136.2
E5_compliance,Compliance of ban on advertising on billboards and outdoor advertising,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not available,,
WHS3_45,Number of new leprosy cases,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,624.0,624,,
overwgt5,Overweight prevalence in children aged <five years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1985,1985,1985,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0.00,,
W24_exp_date_C,Smokeless tobacco packaging and labelling must not display expiry dates,,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
overwgt5,Overweight prevalence in children aged <five years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201401,northern,,No data,,
R_Sp_excise,Taxes as a % of price: specific excise,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),,,,
W23_emissions_front_back_A,Cigarette packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,Decile 1 (poorest),,No data,,
NCD_HYP_DIAGNOSIS_A,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,18.4,18.4 [11.2-27.3],11.2,27.3
DEVICES02,Total density per 100 000 population: Health centres,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,3.21,3.21,,
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,40.9,40.9 [31.4-51.3],31.4,51.3
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1964,1964,1964,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,1.51,1.51,,
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized",,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,9.96914,10.0 [8.4 - 11.0],8.41665,11.0304
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1975,1975,1975,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
MENING_1,Number of suspected meningitis deaths reported,,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,,,,,158,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201006,khartoum,16.04789,16.0 [12.1-21.0],12.05716,21.04343
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,40.4,40.4 [29.7-52.1],29.7,52.1
Camp_tv_radio,Campaign aired on television and/or radio,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,,No data,,
FAMILYPLANNINGUNPDUHC,"Women of reproductive age (15âˆ’49 years) who are married or in-union who have their need for family planning satisfied with modern methods (%), UNPD",,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,23.83443,23.8,,
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201013,north darfur,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1995,1995,1995,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.28,0.28,,
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0.0 [0.0 - 0.0],0.0,0.0
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201007,gezira,66.67035,66.7 [60.1-72.6],60.11403,72.63947
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,38.59371,38.6 [29.7-47.8],29.65454,47.82092
CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years,,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,1968.0,1 968 [529-4 100],529.0,4100.0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,632.3711,632.4 [348.3-1083.8],348.3427,1083.773
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1986,1986,1986,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,0.0,0.00,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,Decile 4,,No data,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201011,north kordofan,52.6786,52.7 [44.1-61.1],44.10131,61.10066
TOB_R_PRICE,Retail price for tobacco and nicotine products,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),1.95,1.95,,
RSUD_88,Groups and agencies for the prevention of substance use disorders,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,GROUP,GROUP_HEALTH_CARE_WORKERS,Health care workers,,no,,
R_VAT,Taxes as a % of price: value added tax,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),4.62,4.62,,
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201414,north darfur,77.2262,77.2 [71.7-81.9],71.73931,81.91632
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,43.7,43.7 [35.4-51.9],35.4,51.9
R_Price_mp_estimate_ppp,Most sold brand of cigarettes - price in PPP$,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,5.34,5.34,,
E7_internet,Ban on advertising: Internet,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_MONTHS12-15,12 to 15 months,43.4,43.4 [38.9-48.1],38.9,48.1
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,624.44155,624 [490-811],489.83459,811.05515
NUT_BF_EVBF,Ever breastfed,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,95.5,95.5 [93.4-96.9],93.4,96.9
RSUD_490,Registration of medications for opioid dependence,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DRUG,DRUG_METHADONE_LIQUID_FORMULATION,Methadone in liquid formulation,,No,,
SA_0000001713,Interventions/projects actively involving young people and civil society,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,,.,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),,1993,1993,1993,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,34.58234,34.6 [21.9-49.2],21.86219,49.17998
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,31.8,31.8 [20.3-44.7],20.3,44.7
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,,,,1.18828,1.19,,
NUT_BF_EBF,Exclusive breastfeeding under six months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_TOTL,Total,41.0,41.0 [37.8-44.2],37.8,44.2
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,686.2334,686.2 [367.3-1161.1],367.2597,1161.107
TB_c_lab_dst_5m,Laboratories providing drug susceptibility testing (DST) (per 5 million population),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.1,0.1,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1968,1968,1968,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.09,0.09,,
TB_new_ep,New cases: extrapulmonary,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,5137.0,5137,,
